Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
A2,1,Arduino_Nano_v3.x,,,,Module:Arduino_Nano,http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf
"D1,D2,D3,D4",4,LED,,,,LED_THT:LED_D4.0mm,~
J1,1,Conn_01x10_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,~
"J2,J6,J11",3,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J3,1,Conn_01x15_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,~
"J5,J9",2,Conn_01x03_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
"J7,J8,J12,J13,J14,J15",6,Screw_Terminal_01x02,,,,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,~
J10,1,Screw_Terminal_01x03,,,,TerminalBlock:TerminalBlock_bornier-3_P5.08mm,~
"K1,K2,K3,K4",4,Relay_SPDT_Latching_1coil,,,,Relay_THT:Relay_SPDT_Finder_36.11,~
"R1,R2,R3,R4",4,R,,,,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,~
SW1,1,SW_Push,,,,Button_Switch_THT:SW_PUSH_6mm,~
U1,1,PCF8574AP,,,,Package_DIP:DIP-16_W7.62mm,http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf
